OperatorTerminal,Description,IPAddress,WorkplaceID,BehaviorDescription,OrderStatus,BoPExecution,QG,Kitting,WorkplaceNId,LayoutEnum,Layout,Workplace,OrderType,OrderStatusFilter,ShowToBeActivated,SortingParam,FilterByLine,GridListView,EnableESOnWorkplaceEnter,AutoassignSerialNumber,ClientDef_NId,ShowReworkCompleted,DisplayRejectionReasons,AllowCellManagement,IsMultyOrderSelection,CanChangeWorkplace,DisplayDCOButton,DisplayUndoOperationOT,AutoExitWorkplace,AutoassignWhiteListCheck,ProductionLine,SearchDryingTask,FastDefectOpening,AutoassignChangeWorkplace,SetOrderLocChangeWorkplace,DisplayFixDefectButtons,UseNewDefectUI,UseNewSilhouetteUI,UseMaterialCallFromLineSideUI,CheckLoadingSequence,CheckProcessingSequence,DisplayOrderMeasurement,Id,NodeID
3201_GAT225LH,3201_GAT225LH,10.98.96.35,ea49875c-6140-f111-8499-000c2997d9e5,BoP Execution,0,2,0,0,3201_GAT225LH,1,OneColumn,T2,,,false,,false,false,false,false,3201_GAT225LH,false,false,,false,false,false,,false,false,,false,false,false,false,false,false,false,false,false,false,false,8e623a44-3c8e-f111-8497-000c2946f184,e649875c-6140-f111-8499-000c2997d9e5
3201_GAT229RH,3201_GAT229RH,10.98.96.63,02276655-6140-f111-8499-000c2997d9e5,BoP Execution +  QG,0,2,4,0,3201_GAT229RH,1,OneColumn,T2,,,false,,false,false,false,false,3201_GAT229RH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,ba5e4d2e-3e8e-f111-849f-000c2997d9e5,fe266655-6140-f111-8499-000c2997d9e5
3201_GADL07RH,3201_GADL07RH,10.98.96.150,c1b64981-eb99-f011-bb24-06f36d7313c7,BoP Execution,0,2,0,0,3201_GADL07RH,1,OneColumn,DL,,,false,,false,false,false,false,3201_GADL07RH,false,false,,false,false,false,,false,false,,false,false,false,false,false,false,false,false,false,false,false,0174c81b-588e-f111-84a3-000c29e9263e,bdb64981-eb99-f011-bb24-06f36d7313c7
3201_GADL08RH,3201_GADL08RH,10.98.96.54,23d3a288-eb99-f011-bb25-0662523cfec5,BoP Execution,0,2,0,0,3201_GADL08RH,1,OneColumn,DL,,,false,,false,false,false,false,3201_GADL08RH,false,false,,false,false,false,,false,false,,false,false,false,false,false,false,false,false,false,false,false,70f05cbc-598e-f111-84a3-000c29e9263e,1fd3a288-eb99-f011-bb25-0662523cfec5
3201_GADL08LH,3201_GADL08LH,10.98.96.159,68108185-eb99-f011-bb23-068adba823c5,BoP Execution,0,2,0,0,3201_GADL08LH,1,OneColumn,DL,,,false,,false,false,false,false,3201_GADL08LH,false,false,,false,false,false,,false,false,,false,false,false,false,false,false,false,false,false,false,false,b0b55a08-5a8e-f111-849a-000c29eabf5a,64108185-eb99-f011-bb23-068adba823c5
3201_GAT103LH,3201_GAT103LH,10.98.96.43,f731ad96-75bc-f011-848e-000c295d53d9,BoP Execution,0,2,0,0,3201_GAT103LH,1,OneColumn,T1,,,false,,false,false,false,false,3201_GAT103LH,false,false,,false,false,false,,false,false,,false,false,false,false,false,false,false,false,false,false,false,152ec398-5d8e-f111-849f-000c2997d9e5,f331ad96-75bc-f011-848e-000c295d53d9
3201_GAT110RH,3201_GAT110RH,10.98.96.72,e70542d4-a8c6-f011-848e-000c295d53d9,BoP Execution,0,2,0,0,3201_GAT110RH,1,OneColumn,T1,,,false,,false,false,false,false,3201_GAT110RH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,7bdb93f3-718e-f111-84a3-000c29e9263e,e30542d4-a8c6-f011-848e-000c295d53d9
3201_GAT108QC,3201_GAT108QC,10.98.96.97,33262fd0-0a8f-f111-8497-000c2946f184,Order Status + BoP Execution + QG,1,2,4,0,3201_GAT108QC,1,OneColumn,T1,,,false,,false,false,false,false,3201_GAT108QC,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,true,false,false,false,false,false,2210efa1-db8e-f111-849a-000c29eabf5a,2f262fd0-0a8f-f111-8497-000c2946f184
3201_GAT218RH,3201_GAT218RH,10.98.96.198,2d065d1e-06b3-f011-848c-000c295d53d9,BoP Execution,0,2,0,0,3201_GAT218RH,1,OneColumn,T2,,,false,,false,false,false,false,3201_GAT218RH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,90b4b60f-318f-f111-849a-000c29eabf5a,29065d1e-06b3-f011-848c-000c295d53d9
3201_GADL07QC,3201_GADL07QC,10.98.96.74,a8fd78c2-378a-f111-8499-000c295d53d9,Order Status + BoP Execution + QG,1,2,4,0,3201_GADL07QC,1,OneColumn,DL,,,false,,false,false,false,false,3201_GADL07QC,false,false,,false,false,false,,false,false,,false,false,false,false,false,true,false,false,false,false,false,b2d55650-9b8f-f111-84a3-000c29e9263e,a4fd78c2-378a-f111-8499-000c295d53d9
3201_GAT215QC,3201_GAT215QC,10.98.96.11,6c64fbd3-0a8f-f111-849f-000c2997d9e5,Order Status + BoP Execution + QG,1,2,4,0,3201_GAT215QC,1,OneColumn,T2,,,false,,false,false,false,false,3201_GAT215QC,false,false,,false,false,false,,false,false,,false,false,false,false,false,true,false,false,false,false,false,62a6666f-e18f-f111-84a3-000c29e9263e,6864fbd3-0a8f-f111-849f-000c2997d9e5
aldwinda,aldwinda,10.98.16.16,8f6fdeae-51b9-f011-848c-000c2946f184,Order Status + BoP Execution + QG,1,2,4,0,3201_GAFL15QC,1,OneColumn,FL,,,false,,false,false,false,false,aldwinda,false,false,,false,false,false,,false,false,,false,false,false,false,false,false,false,false,false,false,false,f03d8c38-719c-f111-84a4-000c29e9263e,8b6fdeae-51b9-f011-848c-000c2946f184
3201_GAPM02RH,3201_GAPM02RH,10.98.96.164,f114bd04-1699-f011-bb25-0662523cfec5,,0,0,0,0,3201_GAPM02RH,1,OneColumn,PM,,,false,,false,false,false,false,3201_GAPM02RH,false,false,,false,false,false,,false,false,,false,false,false,false,false,false,false,false,false,false,false,9d9ee292-35a1-f111-849e-000c295d53d9,ed14bd04-1699-f011-bb25-0662523cfec5
3201_GAFL18QC_2,3201_GAFL18QC_2,10.98.23.215,89b78fb4-51b9-f011-8491-000c29e9263e,BoP Execution +  QG,0,2,4,0,3201_GAFL18QC,1,OneColumn,FL,,,false,,false,false,false,false,3201_GAFL18QC_2,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,true,false,false,false,false,false,60f8bd8e-5894-f111-849b-000c295d53d9,85b78fb4-51b9-f011-8491-000c29e9263e
